scientific_name_original,scientific_name_matched,common_name_en,iucn,at_way_canguk,at_way_titias,at_danau_ranau,habitat_tier,wcrs_text,wc_from_text_only,sources,birdnet_label,in_birdnet_v24
Pycnonotus plumosus,Pycnonotus plumosus,Olive-winged Bulbul,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Pycnonotus plumosus_Olive-winged Bulbul,True
Pycnonotus simplex,Pycnonotus simplex,Cream-vented Bulbul,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Pycnonotus simplex_Cream-vented Bulbul,True
Rallina fasciata,Rallina fasciata,Red-legged Crake,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat,Rallina fasciata_Red-legged Crake,True
Rhaphidura leucopygialis,Rhaphidura leucopygialis,Silver-rumped Spinetail,,True,False,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat,Rhaphidura leucopygialis_Silver-rumped Needletail,True
Rhinomyias olivacea,Cyornis olivaceus,Fulvous-chested Jungle Flycatcher,,True,True,False,lowland,False,False,gooddie2015,Cyornis olivaceus_Fulvous-chested Jungle-Flycatcher,True
Rhinortha chlorophaea,Rhinortha chlorophaea,Raffles’s Malkoha,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Rhinortha chlorophaea_Raffles's Malkoha,True
Rhyticeros undulatus,Rhyticeros undulatus,Wreathed Hornbill,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Rhyticeros undulatus_Wreathed Hornbill,True
Rollulus rouloul,Rollulus rouloul,Crested Partridge,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Rollulus rouloul_Crested Partridge,True
Sasia abnormis,Sasia abnormis,Rufous Piculet,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Sasia abnormis_Rufous Piculet,True
Serilophus lunatus,Serilophus lunatus,Silver-breasted Broadbill,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Serilophus lunatus_Silver-breasted Broadbill,True
Sitta frontalis,Sitta frontalis,Velvet-fronted Nuthatch,,True,False,True,lowland,True,False,gooddie2015;andriyani2022;ebird_ID-SM-LA;ebird_ForestTrail,Sitta frontalis_Velvet-fronted Nuthatch,True
Spilornis cheela,Spilornis cheela,Crested Serpent Eagle,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Spilornis cheela_Crested Serpent-Eagle,True
Stachyridopsis rufifrons,Cyanoderma rufifrons,Rufous-fronted Babbler,,True,True,False,lowland,False,False,gooddie2015,Cyanoderma rufifrons_Rufous-fronted Babbler,True
Stachyris erythroptera,Cyanoderma erythropterum,Chestnut-winged Babbler,,True,False,False,lowland,False,False,gooddie2015,Cyanoderma erythropterum_Chestnut-winged Babbler,True
Stachyris maculata,Stachyris maculata,Chestnut-rumped Babbler,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat,Stachyris maculata_Chestnut-rumped Babbler,True
Stachyris nigriceps,Stachyris nigriceps,Grey-throated Babbler,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Stachyris nigriceps_Gray-throated Babbler,True
Stachyris nigricollis,Stachyris nigricollis,Black-throated Babbler,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat,Stachyris nigricollis_Black-throated Babbler,True
Stachyris poliocephala,Stachyris poliocephala,Grey-headed Babbler,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_ForestTrail,Stachyris poliocephala_Gray-headed Babbler,True
